l,ENSG00000174013.7,ENSG00000109805.8,ENSG00000127329.13,ENSG00000269113.3,ENSG00000049239.11,ENSG00000267206.4,ENSG00000175643.8,ENSG00000085999.10,ENSG00000167178.14
Luminal B    ,148015.88459600002,84222.98110810001,26058.0413012,10101.010358700001,207658.840317,213.468735129,64434.601155,68371.93573350001,3999.53846502
Luminal B    ,123309.036283,101147.58474600001,47408.0984422,3538.15229269,253775.748646,1021.04097425,138317.84896300003,84340.0930983,4641.8788693999995
Luminal B    ,110237.371941,190702.838322,12426.759171700001,1223.37714689,119042.72365599999,0.0,424261.547952,91982.0661762,940.308676305
Luminal B    ,144053.554327,84821.7594021,40259.3233428,7451.55405999,172411.983325,1511.7763599000002,81855.8894136,60525.88688230001,2499.22576069
Luminal B    ,262092.271302,240669.504561,22278.204750099998,3459.18368279,159735.37661500002,162.636592884,449310.473157,91840.0029688,1433.9530576
Luminal B    ,356769.080575,126057.654104,10299.8532237,28124.7524509,172921.02440999998,1577.02658635,399094.939049,84390.68430010001,1520.80575656
Luminal B    ,232694.397164,106577.741802,59273.6573644,45222.899668699996,156815.847772,1098.5854064999999,219986.23675900002,24578.8818247,3329.60871195
Luminal B    ,169348.202268,137037.273499,2375.27157595,871.976681875,242431.565747,0.0,428467.820289,113568.147371,476.206280444
Luminal B    ,120892.042488,92545.9015128,34159.9191079,4004.32727367,212705.138924,435.214630175,390717.116575,35304.2801884,4556.73498546
Luminal B    ,262506.529059,100389.60313999999,50152.0667514,7185.05882719,147798.015591,199.107688937,113755.876729,50121.6413681,8667.85837833
Luminal B    ,128583.475525,46940.8402913,42035.1257505,1340.40418883,190587.734937,1869.60203534,90758.4152795,57728.910418199994,4636.15951364
Luminal B    ,453564.17173999996,63524.9307388,21917.369833400004,4830.67004002,230317.454224,1010.67617673,106679.508464,43690.222149400004,6906.06080909
Luminal B    ,180754.943517,428816.16681900003,57881.1508335,1840.96519197,229547.277184,160.486679064,282263.210594,51486.2951126,2653.12021806
Luminal B    ,214508.69817699998,123188.339935,28518.604655400002,5444.76178331,183312.754672,1627.36697475,315997.190663,80739.4919851,4932.24762008
Luminal B    ,163610.169846,329185.50599499996,29682.342525099997,3109.8947966999995,158915.35243,0.0,529173.22288,32227.7786426,3585.47779053
Luminal B    ,94504.98187619999,129870.87842000001,33744.2165708,8382.60630645,124928.052819,664.953469465,183435.391039,93003.8971156,3801.6842698
Luminal B    ,97376.74354289999,70752.8007523,21646.392131200002,2531.90773424,115882.681634,2648.63756732,190391.540615,49486.065721900006,5327.3604622
Luminal B    ,128055.481099,251955.80184,61940.694942400005,14354.5302979,135100.292153,1696.75983349,124185.481577,46619.9555432,8555.35732268
Luminal B    ,114970.16286199998,82283.9258495,14565.4066364,6473.28442285,255328.468855,0.0,160149.679744,64677.6741908,5597.41222304
Luminal B    ,151514.339106,182911.854614,27209.399482,9593.96047074,309027.642543,577.627379653,135349.258381,64239.01629959999,4058.39804008
Luminal B    ,195692.063713,152029.40248599998,21932.5047089,5038.1082911,101626.950007,669.254954432,320303.042499,125916.506673,7283.75583458
Luminal B    ,182627.081916,153069.027034,40141.1625301,5321.91863994,284361.807447,181.049683518,139383.253891,85277.1065364,1197.22478805
Luminal B    ,250981.116327,67854.3262537,62938.0387431,14837.9356312,242033.959906,868.364561803,89037.0257229,25222.448933900003,10048.889492299999
